№	Категория	Производитель	Наименование	Характеристика	Штрих код																																																																																																																					
210	Майонез	Группа компаний «НМЖК»	Майонез «Провансаль» Сдобри		4 605 955 000 189																																																																																																																					
211	Мороженое	"ООО ТД ""Русский холод"""	Настоящий пломбир		4 606 901 007 924																																																																																																																					
212	Мороженое	"ООО ""Вологодское Мороженое"""	Вологодский пломбир		4 607 067 937 681																																																																																																																					
213	Молоко	АО «Белгородский молочный комбинат»	Parmalat		4 601 662 002 218																																																																																																																					
214	Сгущеное молоко	"ЗАО ""Кореновский молочно-консервный комбинат"""	Коровка из Кореновки		4 602 358 000 990																																																																																																																					
215	Горошек консервированный	"ООО ""Кубанские консервы"""	Globus 																																																																																																																							
216	Горошек консервированный	"ООО ""Бондюэдь - Кубань"""	Globus 		5 998 304 240 022																																																																																																																					
217	Молоко отборное питьевое пастеризованное 3,2%	"АО ""Павловский молочный завод"""	ЭГО		4 607 167 840 133																																																																																																																					
218	Консервы рыбные стерилизованные, сайра тихоокеанская натуральная	"ООО ""Дальпромрыба"""	Капитан вкусов		4 607 033 680 610																																																																																																																					
219	чай	"АО ""«Красногорские лекарственные средства» (АО «Красногорсклексредства»)"""	"Ромашки аптечной цветки ""Фармацвет"""		4 601 498 006 824																																																																																																																					
220	Хлеб нарезной белый	ИП Иванов Михаил Викторович	батон Нарезной (Галичский хлебокомбинат)																																																																																																																							
221	пюре	"ООО ""Хипп"""	«Пюре фруктовое, гомогенизированное, стерилизованное, для питания детей раннего возраста (яблоко) «HIPP ORGANIC»		9 062 300 125 013																																																																																																																					
222	пюре	ООО Хипп	пюре овощное цветная капуста детское питание		9 062 300 125 006																																																																																																																					
223	сухие завтраки	ООО «ГИПЕРГЛОБУС» 2020	«Сухие продукты экструзионной технологии (шарики кукурузные шоколадные)		4 602 481 106 330																																																																																																																					
224	сковорода	АО «Кукморский завод Металлопосуды»	Сковорода литая алюминиевая с антипригарным покрытием ТМ «Kukmara» диаметром 240/60 мм АП со съемной ручкой, линия «Традиция», артикул с246а		4 604 334 007 665																																																																																																																					
